0,1,2,3,4,5
103,2026-07-02,17:03:33,Bhramari,5.4,0.9629937663545004
102,2026-07-02,17:03:26,Om,7.14,0.9916516110649491
101,2026-07-02,17:03:16,Om,6.54,0.9776651210438712
100,2026-07-02,14:00:01,Om,8.64,0.8663318121581309
99,2026-07-01,20:17:28,Om,0.0,0.8663318121581309
98,2026-06-30,15:45:17,Om,7.56,0.9975165345529673
97,2026-06-30,15:45:08,Om,8.73,0.9982786687165462
96,2026-06-29,17:48:20,Om,5.91,0.9999971408313165
95,2026-06-29,17:48:13,Om,4.53,0.9999958773942903
94,2026-06-29,17:48:07,Bhramari,4.56,0.713673145875436
93,2026-06-29,17:48:01,Bhramari,4.47,0.7397509166123032
92,2026-06-29,17:47:55,Bhramari,5.01,0.7433238846369248
91,2026-06-29,17:47:48,Om,5.79,0.9983827300111497
90,2026-06-29,17:47:41,Om,7.59,0.9968764766664925
89,2026-06-27,17:51:59,Bhramari,5.34,0.9330456415581194
88,2026-06-27,17:51:53,Bhramari,5.37,0.9398356225992242
87,2026-06-27,17:51:46,Bhramari,6.21,0.9045265689398166
86,2026-06-27,17:51:40,Bhramari,5.76,0.9504478471729397
85,2026-06-27,17:51:27,Bhramari,5.16,0.97804615283557
84,2026-06-27,17:51:21,Bhramari,5.4,0.9093355664553633
83,2026-06-27,17:51:15,Bhramari,5.01,0.8980041957224607
82,2026-06-27,17:51:09,Bhramari,5.1,0.9588549718798776
81,2026-06-27,17:51:02,Bhramari,5.28,0.963382157939958
80,2026-06-27,17:50:56,Bhramari,5.1,0.9620795253041219
79,2026-06-27,17:50:49,Bhramari,6.27,0.9696248091131632
78,2026-06-27,17:36:18,Om,3.63,0.792064963384633
77,2026-06-27,17:35:51,Om,2.4,0.9945227180459439
76,2026-06-27,17:35:46,Om,3.9,0.9051197450579729
75,2026-06-27,17:35:41,Om,6.78,0.7080681807093103
74,2026-06-27,17:34:20,Om,2.52,0.9798705771333145
73,2026-06-27,17:34:16,Om,4.95,0.7393376520777379
72,2026-06-27,17:34:06,Om,2.88,0.7579707881635234
71,2026-06-27,17:34:02,Om,3.12,0.73031193973144
70,2026-06-27,17:33:57,Om,2.43,0.9971650581911283
69,2026-06-27,17:33:53,Om,2.64,0.9833920771931068
68,2026-06-27,17:33:48,Om,6.48,0.9469575626882731
67,2026-06-27,17:31:32,Om,4.38,0.9999999177980623
66,2026-06-27,17:31:25,Om,6.06,0.9868060090468194
65,2026-06-27,17:31:17,Om,4.44,0.9449578541489339
64,2026-06-27,17:31:11,Om,4.74,0.9289365082717682
63,2026-06-27,17:30:27,Om,8.52,0.8566287160625676
62,2026-06-27,17:30:18,Om,4.77,0.999363191959035
61,2026-06-27,17:30:07,Om,4.59,0.9702539044647824
60,2026-06-27,17:30:00,Om,4.38,0.9999967075671998
59,2026-06-27,17:29:54,Om,6.57,0.985390124737089
58,2026-06-27,17:29:45,Om,6.69,0.9918269701401496
57,2026-06-27,17:29:37,Om,9.27,0.8685167540398028
56,2026-06-27,17:29:27,Om,4.92,0.933541526756549
55,2026-06-27,17:29:21,Om,4.44,0.809797424966346
54,2026-06-27,17:29:15,Om,4.8,0.9333461048325153
53,2026-06-27,17:29:09,Om,4.56,0.9483369567425326
52,2026-06-27,17:29:03,Om,5.49,0.9947280493878832
51,2026-06-27,17:28:57,Om,5.4,0.9983738005428715
50,2026-06-27,17:28:50,Om,5.97,0.9964259016046848
49,2026-06-27,17:28:43,Om,5.52,0.9893794203001607
48,2026-06-27,17:28:36,Om,6.03,0.9932105591264097
47,2026-06-27,17:28:29,Om,7.53,0.995785908120001
46,2026-06-27,17:28:21,Om,6.09,0.9984539522916136
45,2026-06-27,17:28:14,Om,6.24,0.9980662579673802
44,2026-06-26,14:13:41,Om,4.38,0.9872323237331913
43,2026-06-26,14:13:35,Om,4.62,0.9107989691019307
42,2026-06-26,14:13:29,Bhramari,4.47,0.9531793959121215
41,2026-06-26,14:13:23,Bhramari,5.49,0.9261417185685012
40,2026-06-26,14:13:17,Bhramari,5.04,0.8452231007342892
39,2026-06-26,14:13:11,Bhramari,6.48,0.8794223870196879
38,2026-06-26,14:12:57,Bhramari,4.65,0.8754437529163525
37,2026-06-26,14:12:51,Bhramari,6.42,0.7965237258322413
36,2026-06-26,14:12:43,Bhramari,5.4,0.9246544766648132
35,2026-06-26,14:11:29,Om,6.99,0.9923492939886388
34,2026-06-26,14:11:14,Om,8.01,0.7470675553188655
33,2026-06-26,14:10:43,Om,6.0,0.9603078620888561
32,2026-06-26,14:10:03,Om,6.6,0.9795733872939894
31,2026-06-26,14:09:46,Om,7.23,0.844778328885947
30,2026-06-26,14:09:38,Om,8.52,0.7683304858052854
29,2026-06-26,14:09:29,Bhramari,6.57,0.9204155128486038
28,2026-06-26,14:09:06,Om,7.53,0.9154176727089975
27,2026-06-26,14:08:04,Om,4.92,0.9869373047694521
26,2026-06-26,14:07:57,Om,6.21,0.986097645618769
25,2026-06-26,14:07:50,Om,6.0,0.8487217263452123
24,2026-06-26,14:07:42,Om,10.56,0.8772466286622647
23,2026-06-26,14:07:30,Om,8.19,0.9566866907008517
22,2026-06-26,14:07:21,Om,7.2,0.7042654159322891
21,2026-06-26,14:07:05,Bhramari,5.61,0.9692514913444706
20,2026-06-26,14:06:56,Om,4.68,0.9999999465542413
19,2026-06-26,14:06:50,Om,4.68,0.9999994510455869
18,2026-06-26,14:06:44,Om,4.05,0.9999982826426747
